age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income,income_encoded
56,Local-gov,HS-grad,10,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,82,Puerto-Rico,<=50K,0
69,Self-emp-inc,7th-8th,12,Never-married,Prof-specialty,Not-in-family,White,Female,40,South,<=50K,0
46,Local-gov,11th,1,Never-married,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,66,Canada,<=50K,0
32,State-gov,HS-grad,13,Divorced,Exec-managerial,Other-relative,White,Male,22,England,<=50K,0
60,Self-emp-inc,11th,12,Divorced,Exec-managerial,Wife,Black,Female,80,India,<=50K,0
25,Without-pay,Some-college,15,Divorced,Adm-clerical,Husband,White,Male,96,Cambodia,<=50K,0
78,Self-emp-inc,HS-grad,14,Widowed,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,74,Germany,<=50K,0
38,Federal-gov,Doctorate,3,Widowed,Farming-fishing,Wife,Asian-Pac-Islander,Female,34,Vietnam,<=50K,0
56,Without-pay,9th,3,Married-civ-spouse,Other-service,Husband,Black,Female,48,South,<=50K,0
75,Local-gov,Bachelors,10,Never-married,Craft-repair,Other-relative,Other,Female,16,Japan,<=50K,0
36,Never-worked,9th,14,Married-spouse-absent,Farming-fishing,Unmarried,Black,Male,49,Mexico,<=50K,0
40,Local-gov,9th,2,Married-civ-spouse,Craft-repair,Unmarried,Other,Female,98,Cambodia,<=50K,0
28,State-gov,5th-6th,14,Married-civ-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,63,Mexico,<=50K,0
28,Never-worked,11th,10,Widowed,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,40,Philippines,<=50K,0
41,Local-gov,Doctorate,13,Married-AF-spouse,Exec-managerial,Wife,Other,Male,56,Iran,<=50K,0
70,?,12th,5,Never-married,Prof-specialty,Wife,White,Male,98,Greece,<=50K,0
53,Federal-gov,12th,4,Widowed,Adm-clerical,Wife,White,Male,77,Greece,<=50K,0
57,?,1st-4th,13,Married-spouse-absent,Handlers-cleaners,Husband,Black,Female,48,Japan,<=50K,0
41,Without-pay,1st-4th,6,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,37,India,<=50K,0
20,Private,Assoc-acdm,2,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,12,Mexico,<=50K,0
39,Local-gov,10th,14,Divorced,Farming-fishing,Wife,Asian-Pac-Islander,Female,79,Germany,<=50K,0
70,Self-emp-not-inc,10th,4,Never-married,Adm-clerical,Other-relative,Black,Female,94,China,<=50K,0
19,Self-emp-not-inc,HS-grad,12,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,95,Vietnam,<=50K,0
41,Self-emp-inc,10th,7,Divorced,Craft-repair,Unmarried,Asian-Pac-Islander,Male,93,Japan,<=50K,0
61,?,Bachelors,1,Married-spouse-absent,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,98,Vietnam,<=50K,0
47,Federal-gov,Doctorate,13,Married-spouse-absent,Farming-fishing,Other-relative,Asian-Pac-Islander,Female,32,Italy,<=50K,0
55,Local-gov,Bachelors,11,Never-married,Tech-support,Wife,Other,Male,23,China,<=50K,0
19,State-gov,Prof-school,3,Widowed,Sales,Not-in-family,Amer-Indian-Eskimo,Male,74,Greece,<=50K,0
